word, today's frequency, log2(freq.today/freq.ystdy)
france,0.00015500731464865395,1.1389902065523168
worldcup,0.00015230818230402564,1.5043744503105194
exoonburjkhalifa,0.00014093326742309207,0
belgium,0.00013032953321205233,2.2982088877932743
croatia,0.00012377449751795503,1.324905662090293
serena,9.90967160813534e-05,2.533720191039249
ekiti,9.543360789935784e-05,1.4505830925049077
gaza,9.446963206199059e-05,1.856687467013744
180715,8.772180120041983e-05,9.312014687318305
hazard,8.579384952568532e-05,2.268726222662752
maineadventuresoflauraondaig,7.788924765927387e-05,0
beleng,6.844228445307482e-05,4.4945355479869935
williams,6.747830861570757e-05,1.0631383444811706
israeli,6.53575617734996e-05,1.3717335770845474
aldubanniversarybukasna,5.9188116414349206e-05,0
khalifa,5.822414057698195e-05,1.9525123667803985
eng,5.822414057698195e-05,1.6438810945064941
tommy,5.6103393734774e-05,1.4773427362605127
burj,5.5910598567300554e-05,2.7314637046842942
apc,5.5910598567300554e-05,1.606918606745991
superstarmaheshbdayin25d,5.5910598567300554e-05,0
sorrybighit,5.359705655761915e-05,1.4616816725569601
kane,5.0897924212990844e-05,1.8401855444074808
pdp,4.8198791868362543e-05,1.6151862227295912
dubai,4.530686435626079e-05,1.6723083716140272
robinson,4.5114069188787344e-05,1.152984326979286
kerber,4.318611751405284e-05,3.7046843735686936
bel,4.106537067184489e-05,2.19463375942963
prophet,4.0679780336897985e-05,1.7771263862373332
elyxiondotinseould3,4.0101394834477634e-05,0
ekitidecides2018,3.933021416458384e-05,1.496505811451947
hamas,3.875182866216349e-05,2.004060626466208
scored,3.7980647992269684e-05,1.0063116887280954
eden,3.5859901150061734e-05,2.044170839840361
superstar,3.4895925312694485e-05,1.4743431991167553
kiwi,3.277517847048653e-05,2.984792292761429
exols,3.258238330301308e-05,1.4402278926657022
d3,3.219679296806618e-05,4.865996244706299
mcconnell,3.123281713069893e-05,1.5183612069397676
dhoni,3.046163646080513e-05,4.786072700409349
worldcupfinal,3.046163646080513e-05,1.8087927769094327
elon,3.0268841293331676e-05,1.1044873591523774
sterling,2.9690455790911326e-05,1.306134997078419
musk,2.8726479953544077e-05,1.1164979719732513
fayose,2.8148094451123726e-05,1.3145645064941798
marr,2.7762504116176825e-05,5.067254452953402
odi,2.6991323446283025e-05,1.326172750314964
muhammad,2.6991323446283025e-05,1.6808376316143263
ham,2.6991323446283025e-05,1.254022964559129
rockets,2.6798528278809576e-05,1.6704956873928674
bastille,2.6412937943862674e-05,1.722343040065201
fountain,2.6412937943862674e-05,1.9078986932212771
manny,2.6220142776389225e-05,2.110323174845288
antis,2.6220142776389225e-05,1.3603014278536356
tandem,2.6027347608915773e-05,3.2371794543957146
maine,2.5834552441442324e-05,1.0248191866330056
engvind,2.5448962106495422e-05,1.9119762274754912
mina,2.5256166939021973e-05,1.4071904969915274
everton,2.4677781436601622e-05,2.3123669507899334
cro,2.4484986269128173e-05,1.2811520801243947
pacquiao,2.371380559923437e-05,2.9012445015144728
asaram,2.371380559923437e-05,1.6968860030082866
harrystylesliveontourla2,2.371380559923437e-05,7.424806457571486
meghan,2.294262492934057e-05,1.2478266985952233
shownu,2.274982976186712e-05,1.7210788118193627
bapu,2.274982976186712e-05,1.7210788118193627
fayemi,2.2557034594393672e-05,2.7676941710944942
modric,2.140026358955297e-05,1.2543400055538974
xi,2.0629082919659168e-05,1.0944759216884263
hs1,2.0629082919659168e-05,1.6387964379122368
saturdaymorning,2.0629082919659168e-05,1.8662069340153091
mainegabondaig,2.0629082919659168e-05,0
lukaku,2.024349258471227e-05,3.0266124684560562
