word, today's frequency, log2((freq.today-freq.ystdy)/freq.ystdy)
fathers,0.0003135751106597145,1.6005995164297797
nigeria,0.00027701377801484076,2.0512622472777124
jay,0.000209050073773143,2.44228443122572
iceland,0.00020882577111887995,2.772295501341653
father's,0.00019110586143210068,1.4448363004810618
beyonc,0.0001852739924212619,3.8807504925810896
argentina,0.00016217081903216994,1.8387447075406222
croatia,0.00013458159255781737,2.8346087109363687
penalty,0.0001332357766322392,1.7020533797195414
z,0.0001247122757702441,2.2441052522575746
cronga,0.0001215720386105617,6.239734698580317
beyonce,0.00011327284040282963,3.4678738365579327
phil,0.00010048758910983698,2.1859674585962674
tidal,9.465572009899822e-05,3.407379127008041
peru,9.308560151915701e-05,2.456003806970457
miller,7.985174491763831e-05,2.492837864643012
eagles,7.873023164632316e-05,1.4798874589002224
stephen,7.626290244942985e-05,1.319049079920561
nxttakeover,7.536569183237773e-05,5.83940969720019
everythingislove,7.491708652385167e-05,0
cm,7.379557325253653e-05,1.2854740920996583
nigerian,7.177684936416926e-05,1.7101266802552235
moses,7.110394140138018e-05,4.340393805281993
mostrequestedlive,6.930952016727595e-05,7.888480303768117
bey,6.168322992233296e-05,4.019865366134671
labourlive,5.944020337970267e-05,4.1433038692572906
joint,5.360833436886392e-05,1.1000315689585927
denmark,5.181391313475969e-05,1.824910127505075
180616,5.091670251770757e-05,1.1306828078703017
dadswhywe,5.024379455491849e-05,0
lovemaymay,4.777646535802517e-05,0
aldubbeautifulhearts,4.5982044123920935e-05,0
mikel,4.373901758129065e-05,4.0544225881710405
nigerians,4.239320165571247e-05,1.6556977440278016
moscow,4.10473857301343e-05,1.5328042719606567
taxi,4.0150175113082184e-05,1.4569768633532736
argisl,3.9925872458819154e-05,7.09275070683014
var,3.925296449603007e-05,1.4683155455089434
papa,3.858005653324098e-05,1.6682425992189152
lg,3.611272733634766e-05,1.140579231920755
pig,3.611272733634766e-05,1.2336886363122361
ddaeng,3.588842468208463e-05,1.2110249161879052
caratselcaday,3.5439819373558576e-05,3.165910521877376
nga,3.4991214065032516e-05,2.3788575386689774
lemans24,3.4991214065032516e-05,2.858025375367537
donkiss,3.431830610224343e-05,2.5890028996941457
mickelson,3.431830610224343e-05,6.289442617835237
logan,3.319679283092829e-05,2.400205886790594
truespiritualfather,3.2075279559613144e-05,0
stramrahim,3.2075279559613144e-05,0
aap,3.050516097977194e-05,1.2782153624119836
notourlasthunt,3.050516097977194e-05,3.1195176163929252
iwobi,2.9832253016982852e-05,4.350371616477569
jake,2.9832253016982852e-05,1.0575898672497235
nxt,2.9159345054193765e-05,2.594990969533743
naija,2.8935042399930734e-05,2.342842312424748
lemonade,2.8710739745667707e-05,2.5295544346134027
corbyn,2.8710739745667707e-05,1.1740737800150138
victor,2.8262134437141647e-05,2.009334698642502
kejriwal,2.7589226474352563e-05,2.652641185594464
arg,2.7589226474352563e-05,2.2019797765848983
usopen,2.7589226474352563e-05,1.6053354708161067
happyfathersday,2.7364923820089533e-05,2.9038984236519036
cro,2.7140621165826503e-05,2.3264271475093867
asaptidadhana,2.6692015857300446e-05,0
isl,2.534619993172227e-05,2.793340048504205
lionel,2.5121897277459244e-05,1.4243721979213464
hov,2.4673291968933184e-05,3.938945370751104
louvre,2.377608135188107e-05,5.023009635539579
usga,2.2878870734828953e-05,4.704480117114081
tupac,2.2430265426302896e-05,2.617017275863742
carters,2.198166011777684e-05,5.6467646192577945
ciampa,2.198166011777684e-05,5.231727119978951
cms,2.153305480925078e-05,2.617017275863742
cruz,2.153305480925078e-05,1.0121552177048811
modric,2.130875215498775e-05,4.016947882752378
shiny,2.0860146846461694e-05,1.090086896514001
asaram,2.0635844192198664e-05,1.7482618091419946
misses,2.0411541537935634e-05,1.1248119160624381
fansign,2.0187238883672607e-05,1.7869422773060544
