word, today's frequency, log2(freq.today/freq.ystdy)
independence,0.00029895960973116915,1.281315670070906
nicki,0.00019055460864711912,1.447402661334837
tape,0.00012099134952452024,1.236729450068916
primary,0.0001105703943641309,1.061228119650838
bridge,0.00010529224824393372,1.3116562058550525
astroworld,9.148786608341798e-05,3.988054902276659
sarah,8.756309076327136e-05,1.3227613539068845
aldubpromiseoflove,8.323230420310955e-05,0
safaree,7.700679852287697e-05,5.324422809022213
sanders,7.66007872828618e-05,2.5391886308839613
independencedayindia,7.10519670026545e-05,8.01566650132672
catholic,6.76685400025281e-05,1.659874954573074
genoa,5.0616067921891017e-05,2.7450276351362124
jury,4.939803420184551e-05,1.3014209836605974
priests,4.9262697121840455e-05,2.9954344326422566
collapse,4.642061844173427e-05,1.4357733702839601
guarantee,4.452589932166349e-05,1.0560344436462283
independenceday,4.154848356155225e-05,1.06167864412848
indians,3.938309028147135e-05,1.1531409762582647
pennsylvania,3.83003936414309e-05,1.8387489127428693
pti,3.7759045321410676e-05,1.5800522445454097
vermont,3.681168576137529e-05,1.8970307285812624
celtic,3.667634868137023e-05,1.5224831190190753
happyindependenceday,3.6405674521360114e-05,3.006561131971406
tuesdaythoughts,3.6405674521360114e-05,1.3927437685780644
72nd,3.5864326201339893e-05,3.1713604430962246
jai,3.288691044122866e-05,2.096950470321412
lowlife,2.9638820521107306e-05,1.0128129619732618
hairline,2.8420786801061802e-05,3.6937384064393575
occasion,2.8285449721056745e-05,1.1949989245244432
fraser,2.6932078921006183e-05,2.156685890679587
sars,2.6796741841001127e-05,3.149417890215547
fighters,2.6255393520980903e-05,1.239555728075738
nomination,2.6120056440975846e-05,1.1456851713392175
fakelovewentgold,2.5849382280965732e-05,0
anning,2.517269688094045e-05,3.126334277102506
bernie,2.490202272093034e-05,1.0112017485005733
transgender,2.4225337320905057e-05,1.141380571150129
buried,2.381932608088989e-05,1.0126597527084342
tyga,2.3413314840874723e-05,3.713681398268868
browns,2.314264068086461e-05,1.4200654801592165
f1,2.2736629440849442e-05,1.464919715943477
hind,2.2195281120829215e-05,2.207761876446352
priest,2.1924606960819105e-05,1.31934289165786
riaa,2.1112584480788767e-05,5.679932606914328
shah,2.1112584480788767e-05,1.4320050934707418
bharat,1.9759213680738205e-05,1.0607929908750833
collapsed,1.9353202440723035e-05,1.2567211761897832
witnesses,1.9217865360717978e-05,1.020715551499748
mpa,1.8947191200707868e-05,2.7164584829394416
stokes,1.8541179960692697e-05,1.9900621304834223
christine,1.7864494560667417e-05,2.11699641252317
sdlive,1.745848332065225e-05,2.990720144196489
loona,1.7187809160642136e-05,1.0374402379825145
penn,1.6917135000632026e-05,1.9910808630484471
vmmisss,1.6917135000632026e-05,0
tuesdaymotivation,1.6240449600606745e-05,1.5644553894943913
dime,1.6105112520601688e-05,1.1463901975179795
huckabee,1.6105112520601688e-05,2.0669557300235746
alonso,1.5834438360591574e-05,2.8498576083566394
happyindependenceday2018,1.5699101280586518e-05,3.3780422652635096
endsars,1.5699101280586518e-05,4.252511383179651
katrina,1.5428427120576407e-05,2.6424579014956646
pardon,1.529309004057135e-05,1.5517443377448372
kaushal,1.5157752960566294e-05,1.2632858547738264
bdaywishestostramrahim,1.5157752960566294e-05,0
collapses,1.5022415880561237e-05,1.0459883005601418
minghao,1.4887078800556182e-05,1.237290646240882
kobach,1.4887078800556182e-05,2.4389245074105323
puig,1.4751741720551125e-05,3.4257491186627993
nebraska,1.4481067560541013e-05,1.3286424523956217
omar,1.4481067560541013e-05,1.02052015703329
shawty,1.4210393400530901e-05,1.2674736517372598
motorway,1.3804382160515732e-05,1.2943662261266469
fernando,1.3669045080510675e-05,2.7308137759165114
crazed,1.3669045080510675e-05,2.6377043715250297
wednesdaywisdom,1.3669045080510675e-05,4.63770437152503
treeplantation,1.353370800050562e-05,3.8159941564903557
hallquist,1.3263033840495506e-05,6.594202732888443
happybirthdaystmsg,1.3127696760490451e-05,0
bdaygifttomsg,1.2992359680485395e-05,4.564455389494391
aravindhasamethateaser,1.2992359680485395e-05,1.706474394366819
rodgers,1.2857022600480338e-05,1.057495400774508
raping,1.2721685520475283e-05,1.21215364556351
timberlake,1.2315674280460114e-05,2.9023250282507753
clintons,1.2180337200455057e-05,1.1859437662406613
cara,1.2180337200455057e-05,2.47134598510291
agt,1.2180337200455057e-05,3.149417890215547
briefing,1.2045000120450002e-05,1.1698241008773846
assumption,1.2045000120450002e-05,1.0629088969608727
overhaul,1.2045000120450002e-05,1.7547866015985405
aazadi,1.2045000120450002e-05,6.455226319739633
kaisi,1.2045000120450002e-05,5.455226319739633
osinbajo,1.1909663040444945e-05,2.046607084631772
nm,1.1774325960439888e-05,1.0648843800038794
ramos,1.1638988880434833e-05,1.8207951427541769
williamson,1.1638988880434833e-05,2.405757643475333
somali,1.1368314720424721e-05,1.242527294607029
harvey,1.1368314720424721e-05,1.242527294607029
leandro,1.1368314720424721e-05,1.5138293164244234
ilhan,1.1368314720424721e-05,1.7868478108308397
leakira,1.1232977640419664e-05,3.547177398062556
vault,1.1097640560414607e-05,1.0516426745290706
flog,1.1097640560414607e-05,3.1671198919490067
pierson,1.0962303480409552e-05,4.734380390936704
sued,1.0826966400404495e-05,1.0160187647983492
robbery,1.0826966400404495e-05,1.0160187647983492
reptourtampa,1.0826966400404495e-05,1.7164584829394414
180815,1.0691629320399439e-05,6.283273636950338
baked,1.0556292240394383e-05,1.2205009882770301
rollin,1.0556292240394383e-05,1.5100076054720148
biggbosstelugu2,1.0556292240394383e-05,1.1774322663851442
dyisisitmanila,1.0556292240394383e-05,1.358004512026965
knocks,1.0420955160389327e-05,1.076354428025824
goldmovie,1.0420955160389327e-05,1.9983519160245509
proceeds,1.0150281000379215e-05,1.0790285623241493
meek,1.0150281000379215e-05,1.400956657211512
kissesdelavinforspotted,1.0150281000379215e-05,0
baganilakasngpagibig,1.0014943920374158e-05,0
