word, today's frequency, log2(freq.today/freq.ystdy)
report,0.0004873100968546532,1.540628365210524
mueller,0.000373732629328496,2.817625197885455
acelalisaday,0.00031380583719348257,9.165403702588408
india,0.0002721000291535746,1.020089410890876
26,0.00022229600596028636,2.0459617219756314
lisa,0.00020549220951702246,2.499332778998158
27,0.00020488484338051894,1.8122525175006285
jussie,0.0001745165365553432,5.274501142157454
cr,0.00017249198276699816,1.1023884778162827
smollett,0.00017147970587282562,5.593129643617915
barr,0.00016702568753846652,3.763748415230312
russia,0.00015973729390042433,1.4033301330488355
charges,0.0001494120695798646,2.2000104451792613
collusion,0.0001457678727608435,3.4153481089817586
dropped,0.00014192122056298792,1.3029454133710359
apple,0.00014192122056298792,1.0206218364374318
ji,0.00013402546078844222,1.2762605114620393
investigation,0.0001287616209387451,1.2545253146466988
bjp,0.00012653461177156554,1.1791065490345092
chicago,0.00011418483366266074,1.2433781815544218
israel,0.00011276764601081922,1.0668329003104642
pakistan,0.00011094554760130867,1.0323880882443777
blackspotonjudiciary,0.00010527679699394254,0
blackpink,0.00010507434161510803,1.799039371393258
comeback,0.00010304978782676298,1.039236795659291
innocent,9.839331411356937e-05,1.4260745155748171
corrupt,9.778594797706585e-05,1.0611658150897694
hbdramcharan,9.657121570405883e-05,0
article13,8.584108062583006e-05,5.594831938848915
petition,8.057724077613294e-05,1.1927485675472034
lalisa,7.49084901687668e-05,4.850805149499535
190326,7.47060347899323e-05,0
cardi,7.146674872858022e-05,2.0535956521980725
bighit,7.06569272132422e-05,2.083697091073575
kst,6.923973956140066e-05,1.9083881202618758
mcconnell,6.23562566810275e-05,2.903400405558824
dolls,6.114152440802047e-05,2.8284760182519713
ramcharan,5.972433675617894e-05,5.6019973452337
lazadaxplan,5.850960448317191e-05,0
satellite,5.729487221016488e-05,1.781272107695805
hoax,5.6687506073661365e-05,2.7193542958718586
190327,5.5877684558323344e-05,0
jisoo,5.5270318421819834e-05,2.8272183291819197
ag,5.486540766415082e-05,1.5942178082794907
avenatti,5.425804152764731e-05,6.3115122979972185
conspiracy,5.263839849697127e-05,1.0351301637776258
gaza,5.263839849697127e-05,2.0978659191255886
olympics,5.203103236046775e-05,2.5729757516206866
obstruction,5.020893395095721e-05,3.4340846715633444
mainemendozaforsip,5.020893395095721e-05,0
aca,4.9601567814453694e-05,3.980427185372366
rs,4.919665705678469e-05,1.4047008647822503
lou,4.8791746299115674e-05,1.6728856165991661
jihoon,4.777946940494315e-05,1.373178654737819
jennie,4.777946940494315e-05,1.4957979414017746
pentagon,4.7577014026108646e-05,2.294121029487126
mueller's,4.737455864727414e-05,1.9141539659532003
scheme,4.6767192510770625e-05,1.229275684962849
missionshakti,4.6767192510770625e-05,8.419100243842866
copyright,4.636228175310162e-05,2.7061152723826605
lazadaidnxsaintsup,4.6159826374267114e-05,0
affordable,4.494509410126008e-05,1.2428259960534072
judges,4.494509410126008e-05,1.2324840518319482
chen,4.4742638722425576e-05,1.6003662596547716
existing,4.4135272585922066e-05,1.3697512425416483
conditions,4.373036182825305e-05,1.0093557493059215
schiff,4.352790644941855e-05,3.4086534564077504
doll,4.352790644941855e-05,1.1862610350713028
rahul,4.1705808039908e-05,1.1663888883596878
mega,4.089598652456998e-05,1.3066994479040088
investigate,4.089598652456998e-05,1.0758155656739212
summary,4.089598652456998e-05,1.958776144483702
resign,4.028862038806647e-05,1.0954513661922884
barr's,3.988370963039746e-05,6.189403021883185
hindu,3.947879887272845e-05,1.2920384668145783
william,3.947879887272845e-05,1.0249343966717372
happiest,3.887143273622493e-05,1.1750337796480483
mattel,3.866897735739043e-05,3.8968525170189716
mitch,3.826406659972142e-05,2.063504436190109
lance,3.826406659972142e-05,2.7720416220297976
devos,3.664442356904538e-05,3.9797342482596747
judiciary,3.6239512811376374e-05,2.0287991666626106
brennan,3.6239512811376374e-05,4.051166979691065
seoul,3.583460205370736e-05,1.5755251338725087
nehru,3.563214667487286e-05,3.3263431029230137
dssagainstdowry,3.522723591720385e-05,0
ph,3.5024780538369346e-05,1.1564893791191582
jacob,3.5024780538369346e-05,1.4020665878764056
batman,3.4822325159534836e-05,1.186261035071302
india's,3.441741440186583e-05,1.290241611381292
chairman,3.441741440186583e-05,1.0698515429559918
indonesia,3.381004826536231e-05,1.156639628550755
rampal,3.381004826536231e-05,5.951055494900861
obamacare,3.381004826536231e-05,2.593503490282777
taeyeon,3.360759288652781e-05,1.9200228207452787
